tag,count,Price,Percent_change_1h,Market_cap_usd,Time
#eos,3,13.678899765014648,-0.6100000143051147,12258338816.0,00:36
#cardano,2,0.21497300267219543,-0.5699999928474426,5573620224.0,00:36
#iota,2,1.7291500568389893,-0.7300000190734863,4806224896.0,00:36
#litecoin,2,119.62899780273438,-0.28999999165534973,6799021056.0,00:36
#bitcoin,28,7522.740234375,-0.3199999928474426,128452476928.0,00:37
#tron,11,0.05940200015902519,-0.019999999552965164,3905569280.0,00:37
#ripple,5,0.6685180068016052,-0.9700000286102295,26233665536.0,00:37
#ethereum,3,595.094970703125,-0.4699999988079071,59432787968.0,00:37
#eos,2,13.678899765014648,-0.6100000143051147,12258338816.0,00:37
#stellar,2,0.29420900344848633,0.03999999910593033,5466332160.0,00:37
#cardano,1,0.21497300267219543,-0.5699999928474426,5573620224.0,00:37
#iota,1,1.7291500568389893,-0.7300000190734863,4806224896.0,00:37
#litecoin,1,119.62899780273438,-0.28999999165534973,6799021056.0,00:37
#bitcoin,27,7522.740234375,-0.3199999928474426,128452476928.0,00:38
#tron,7,0.05940200015902519,-0.019999999552965164,3905569280.0,00:38
#ethereum,3,595.094970703125,-0.4699999988079071,59432787968.0,00:38
#ripple,3,0.6685180068016052,-0.9700000286102295,26233665536.0,00:38
#eos,1,13.678899765014648,-0.6100000143051147,12258338816.0,00:38
#bitcoin,25,7522.740234375,-0.3199999928474426,128452476928.0,00:39
#tron,9,0.05940200015902519,-0.019999999552965164,3905569280.0,00:39
#ethereum,8,595.094970703125,-0.4699999988079071,59432787968.0,00:39
#ripple,3,0.6685180068016052,-0.9700000286102295,26233665536.0,00:39
#eos,1,13.678899765014648,-0.6100000143051147,12258338816.0,00:39
#stellar,1,0.29420900344848633,0.03999999910593033,5466332160.0,00:39
#litecoin,1,119.62899780273438,-0.28999999165534973,6799021056.0,00:39
#bitcoin,34,7517.259765625,-0.4099999964237213,128358907904.0,00:40
#ethereum,10,594.8369750976562,-0.5600000023841858,59407208448.0,00:40
#tron,7,0.059496600180864334,-0.07999999821186066,3911789056.0,00:40
#ripple,3,0.6682109832763672,-1.1799999475479126,26221619200.0,00:40
#eos,2,13.680500030517578,-0.6200000047683716,12259773440.0,00:40
#stellar,2,0.2942560017108917,0.05999999865889549,5467207168.0,00:40
#litecoin,1,119.69300079345703,-0.25999999046325684,6802685440.0,00:40
#bitcoin,30,7517.259765625,-0.4099999964237213,128358907904.0,00:41
#ethereum,10,594.8369750976562,-0.5600000023841858,59407208448.0,00:41
#tron,8,0.059496600180864334,-0.07999999821186066,3911789056.0,00:41
#ripple,1,0.6682109832763672,-1.1799999475479126,26221619200.0,00:41
#stellar,1,0.2942560017108917,0.05999999865889549,5467207168.0,00:41
#eos,1,13.680500030517578,-0.6200000047683716,12259773440.0,00:41
#bitcoin,29,7517.259765625,-0.4099999964237213,128358907904.0,00:42
#tron,11,0.059496600180864334,-0.07999999821186066,3911789056.0,00:42
#ethereum,8,594.8369750976562,-0.5600000023841858,59407208448.0,00:42
#ripple,2,0.6682109832763672,-1.1799999475479126,26221619200.0,00:42
#eos,2,13.680500030517578,-0.6200000047683716,12259773440.0,00:42
#bitcoin,38,7517.259765625,-0.4099999964237213,128358907904.0,00:43
#tron,15,0.059496600180864334,-0.07999999821186066,3911789056.0,00:43
#ethereum,9,594.8369750976562,-0.5600000023841858,59407208448.0,00:43
#ripple,4,0.6682109832763672,-1.1799999475479126,26221619200.0,00:43
#eos,3,13.680500030517578,-0.6200000047683716,12259773440.0,00:43
#stellar,1,0.2942560017108917,0.05999999865889549,5467207168.0,00:43
#iota,1,1.7277400493621826,-0.9599999785423279,4802305536.0,00:43
#bitcoin,34,7517.259765625,-0.4099999964237213,128358907904.0,00:44
#ethereum,13,594.8369750976562,-0.5600000023841858,59407208448.0,00:44
#tron,13,0.059496600180864334,-0.07999999821186066,3911789056.0,00:44
#ripple,4,0.6682109832763672,-1.1799999475479126,26221619200.0,00:44
#cardano,3,0.21495699882507324,-0.6600000262260437,5573205504.0,00:44
#iota,2,1.7277400493621826,-0.9599999785423279,4802305536.0,00:44
#eos,2,13.680500030517578,-0.6200000047683716,12259773440.0,00:44
#stellar,1,0.2942560017108917,0.05999999865889549,5467207168.0,00:44
